السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2023,2,المنطقة الشرقية,أبحاث الإعلان والسوق,703.0,199.0,6.0,3.0,911.0,,,,,,,,,,
2023,2,المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,31.0,16.0,11.0,5.0,63.0,,"اخلاء مسؤولية:
 - تمت معالجة البيانات بأقصى قدر من الجهد والحرص لضمان جودتها. ومع ذلك، تحتفظ منشآت بالحق في إجراء اي تغييرات على البيانات دون إشعار مسبق حيث أنها تخضع للتغييرات التي تحدث على مصدر البيانات الرئيسي ""المؤسسة العامة للتأمينات الاجتماعية"".
- ""منشآت"" غير مسؤولة عن أي ضرر أو سوء استخدام تتعرض له الجهات نتيجة استخدام هذه البيانات المنشورة بالبوابة الإلكترونية لـ""منشآت""، كما أن ""منشآت"" لا تضمن استمرارية توافر هذه البيانات أو جزء منها، كما لا تتحمل ""منشآت"" أي مسؤولية تجاه مستخدمي هذه البيانات، وما قد يقع عليهم من ضرر أو خسارة بسبب إعادة استخدامها.",,,,,,,,
2023,2,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,893.0,92.0,14.0,,999.0,,,,,,,,,,
2023,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,957.0,346.0,73.0,19.0,1395.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الاتصالات,100.0,24.0,3.0,,127.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,72.0,16.0,1.0,2.0,91.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الإقامة,334.0,267.0,33.0,1.0,635.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة الإبداعية والفنون وأنشطة الترفيه,28.0,3.0,,,31.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,98.0,63.0,11.0,4.0,176.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,806.0,130.0,14.0,3.0,953.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة الإيجارية,1908.0,313.0,40.0,8.0,2269.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة البيطرية,49.0,14.0,,,63.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,328.0,143.0,7.0,,478.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة العقارية,741.0,204.0,15.0,1.0,961.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة القانونية وأنشطة المحاسبة,313.0,130.0,9.0,,452.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,36.0,37.0,5.0,1.0,79.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة المهنية والعلمية والتقنية الأخرى,226.0,30.0,,1.0,257.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,1.0,1.0,,,2.0,,,,,,,,,,
2023,2,المنطقة الشرقية,البحث والتطوير في المجال العلمي,18.0,7.0,2.0,,27.0,,,,,,,,,,
2023,2,المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,753.0,348.0,63.0,13.0,1177.0,,,,,,,,,,
2023,2,المنطقة الشرقية,التعليم,383.0,304.0,83.0,12.0,782.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الحراجة وقطع الأخشاب,4.0,,,,4.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الرعاية مع الإقامة,7.0,8.0,1.0,,16.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الصحة البشرية,214.0,343.0,111.0,32.0,700.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الصرف الصحي,32.0,27.0,4.0,3.0,66.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الصناعة التحويلية الأخرى,109.0,84.0,23.0,6.0,222.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,80.0,66.0,2.0,1.0,149.0,,,,,,,,,,
2023,2,المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,2051.0,832.0,213.0,53.0,3149.0,,,,,,,,,,
2023,2,المنطقة الشرقية,النقل الجوي,61.0,17.0,,,78.0,,,,,,,,,,
2023,2,المنطقة الشرقية,النقل المائي,45.0,26.0,12.0,,83.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الهندسة المدنية,584.0,448.0,179.0,96.0,1307.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الاستخدام,293.0,49.0,10.0,22.0,374.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,6.0,1.0,,,7.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الأمن والتحقيقات,56.0,27.0,14.0,8.0,105.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,300.0,103.0,10.0,2.0,415.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة البرمجة والإذاعة,11.0,3.0,,,14.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,23.0,10.0,1.0,1.0,35.0,,,,,,,,,,
